Table 1,,,,,
"Comments: 1. For Adidas and Nike, there is one more column called “sub-brand”. 2. For now, the collected data are only about clothing, without shoes. 3. The top 10 clothing brands are found on google. Reference: https://www.thetoptens.com/best-clothing-brands/ ",,,,,
Sector,Brand,Category,Gender,Product,Subtitle
fashion,Nike,sports bras,Women,pro classic,women's medium support sports bra
fashion,Nike,sports bras,Women,pro hero,women's high support sports bra
fashion,Nike,sports bras,Women,pro fierce reflective,women's sports bra
fashion,Nike,sports bras,Women,indy cooling,women's light support sports bra
fashion,Nike,sports bras,Women,pro indy,women's light support sports bra
fashion,Nike,sports bras,Women,pro fierce flocked,women's medium support sports bra
fashion,Nike,sports bras,Women,pro hyper classic padded,women's medium support sports bra
fashion,Nike,sports bras,Women,pro fierce filter,women's medium support sports bra
fashion,Nike,sports bras,Women,pro rival fade,women's high support sports bra
fashion,Nike,sports bras,Women,pro classic swoosh,women's medium support sports bra
fashion,Nike,sports bras,Women,pro classic padded,women's medium support sports bra
fashion,Nike,sports bras,Women,indy logo back,women's light support sports bra
fashion,Nike,sports bras,Women,seamless,women's seamless light support sports bralette
fashion,Nike,sports bras,Women,zoned sculpt strappy,women's training bralette
fashion,Nike,sports bras,Women,pro classic cooling,women's medium impact sports bra
fashion,Nike,sports bras,Women,pro classic padded logo,women's sports bra
fashion,Nike,sports bras,Women,pro classic padded graphic,women's sports bra
fashion,Nike,sports bras,Women,pro fierce,women's printed medium support sports bra
fashion,Nike,sports bras,Women,pro rival,women's high support sports bra
fashion,Nike,sports bras,Women,pro classic swoosh,women's medium impact sports bra
fashion,Nike,sports bras,Women,pro classic limitless,women's medium support sports bra
fashion,Nike,sports bras,Women,pro fierce accelerator,women's sports bra
fashion,Nike,sports bras,Women,pro classic kaleidoscope,women's medium support sports bra
fashion,Nike,sports bras,Women,pro classic swoosh futura,women's medium support sports bra
fashion,Nike,sports bras,Women,pro indy cross back,women's light support sports bra
fashion,Nike,sports bras,Women,pro classic hypercool limitless,women's sports bra
fashion,Nike,sports bras,Women,indy wipeout,women's light support sports bra
fashion,Nike,sports bras,Women,pro classic padded,women's graphic medium support sports bra
fashion,Nike,sports bras,Women,nike,women's medium support sports bra
fashion,Nike,sports bras,Women,pro indy cool,women's light support bra
fashion,Nike,sports bras,Women,pro indy color block,women's light support sports bra
fashion,Nike,sports bras,Women,pro hero,women's sports bra
fashion,Nike,sports bras,Women,pro fierce,women's sports bra
fashion,Nike,sports bras,Women,pro classic swoosh hydra solstice,women's medium support sports bra
fashion,Nike,sports bras,Women,pro rival heather,women's sports bra
fashion,Nike,sports bras,Women,pro classic swoosh microcosm,women's medium support sports bra
fashion,Nike,sports bras,Women,pro indy techno glitch,women's light support sports bra
fashion,Nike,sports bras,Women,indy block logo,women's light support sports bra
fashion,Nike,sports bras,Women,pro classic padded frequency,women's sports bra
fashion,Nike,sports bras,Women,pro classic facet,women's sports bra
fashion,Nike,tops & T-shirts,Women,hurley staple perfect v,women's t-shirt
fashion,Nike,tops & T-shirts,Women,sportswear tech fleece,women's top
fashion,Nike,tops & T-shirts,Women,breathe,women's short sleeve running top
fashion,Nike,tops & T-shirts,Women,sportswear bonded,women's tank
fashion,Nike,tops & T-shirts,Women,dry knit,women's short sleeve top
fashion,Nike,tops & T-shirts,Women,breathe,women's sleeveless training top
fashion,Nike,tops & T-shirts,Women,breathe,women's training tank
fashion,Nike,tops & T-shirts,Women,hurley staple perfect,women's tank
fashion,Nike,tops & T-shirts,Women,converse chuck patch,women's t-shirt
fashion,Nike,tops & T-shirts,Women,sportswear,women's long sleeve top
fashion,Nike,tops & T-shirts,Women,dry element,women's long sleeve running top
fashion,Nike,tops & T-shirts,Women,dry element,women's long sleeve running top (plus size)
fashion,Nike,tops & T-shirts,Women,dry,women's training tank
fashion,Nike,tops & T-shirts,Women,breathe,women's training tank (plus size)
fashion,Nike,tops & T-shirts,Women,pro,women's short sleeve training top
fashion,Nike,tops & T-shirts,Women,breathe,women's training top (plus size)
fashion,Nike,tops & T-shirts,Women,sportswear essential,women's logo tank
fashion,Nike,tops & T-shirts,Women,breathe,women's running tank
fashion,Nike,tops & T-shirts,Women,dry,women's training t-shirt
fashion,Nike,tops & T-shirts,Women,breathe cool,women's running tank
fashion,Nike,tops & T-shirts,Women,sportswear essential,women's t-shirt (plus size)
fashion,Nike,tops & T-shirts,Women,sportswear essential,women's logo short sleeve top
fashion,Nike,tops & T-shirts,Women,converse essentials,women's t-shirt
fashion,Nike,tops & T-shirts,Women,equality betrue,women's t-shirt
fashion,Nike,tops & T-shirts,Women,sportswear gym vintage,women's romper
fashion,Nike,tops & T-shirts,Women,breathe,women's (plus size) training tank
fashion,Nike,tops & T-shirts,Women,converse heather chuck patch,women's t-shirt
fashion,Nike,tops & T-shirts,Women,sportswear tech hypermesh,women's tank
fashion,Nike,tops & T-shirts,Women,sportswear essential,women's tank
fashion,Nike,tops & T-shirts,Women,breathe cool,women's short sleeve running top
fashion,Nike,tops & T-shirts,Women,dry uv cropped baselayer,women's golf top
fashion,Nike,tops & T-shirts,Women,international,women's short sleeve top
fashion,Nike,tops & T-shirts,Women,sportswear essential,women's tank (plus size)
fashion,Nike,tops & T-shirts,Women,sportswear stripe,women's short sleeve top
fashion,Nike,tops & T-shirts,Women,sportswear mesh,women's tank
fashion,Nike,tops & T-shirts,Women,sportswear bonded,women's half sleeve top
fashion,Nike,tops & T-shirts,Women,signal,women's tank top
fashion,Nike,tops & T-shirts,Women,sportswear air,women's short sleeve crop top
fashion,Nike,tops & T-shirts,Women,converse classic chuck patch,women's tank
fashion,Nike,tops & T-shirts,Women,hurley staple perfect raglan,women's 3/4 sleeve t-shirt
fashion,Nike,tops & T-shirts,Women,sportswear advance 15,women's tank
fashion,Nike,tops & T-shirts,Women,dry city,women's short sleeve running top
fashion,Nike,tops & T-shirts,Women,nike,women's training tank
fashion,Nike,tops & T-shirts,Women,converse hanging sneaker,women's t-shirt
fashion,Nike,tops & T-shirts,Women,dry city,women's running tank
fashion,Nike,tops & T-shirts,Women,converse classic,women's tank
fashion,Nike,tops & T-shirts,Women,flex,women's training tank
fashion,Nike,tops & T-shirts,Women,n7 signal,women's tank
fashion,Nike,tops & T-shirts,Women,n7,women's short sleeve shirt
fashion,Nike,tops & T-shirts,Women,engineered graphic racerback,women's golf tank
fashion,Nike,tops & T-shirts,Women,breathe,women's running tank (plus size)
fashion,Nike,tops & T-shirts,Women,dry element,women's long sleeve running top (plus size)
