100_percent: RB intensifier 
1_star: A ac nt 
24-hour_interval: N nc unit 
2nd_lieutenant: N job nc 
3_4-methylenedioxy-N-methylamphetamine: N artifact nc 
3d_puzzler: N nc prod 
3d_radar: N nc tool 
4.5_out_of_5_stars: A ac pt 
4_star: N nc pt 
5/5_star: N comfortW nc 
5_out_of_5_stars: A ac pt 
5_star: N comfortW nc 
AND_circuit: N nc tool 
After_shave_balm: N nc prod 
Atkins_diet: N nc treatment 
Audio_Delay: N nc solution 
Bacillus_influenzae: N nc nt 
Bathtub_Drain: N nc prod 
Bayesian_network: N nc tech 
Best_and_Worst: N abstract nc 
Bloody_hell: A ac curse 
Body_Shop_Hair_Removal: N nc solution 
Body_Shop_Hair_Removal_Wax: N nc prod 
British_friendly: A ac pt 
British_unfriendly: A ac nt 
C._psittaci: N nc nt 
C._trachomatis: N nc nt 
CLL_cellular_diagnosis: N nc treatment 
CML_cellular_diagnosis: N nc treatment 
Casino_&_Hotel: N comHN nc 
Casino_&_Spa: N comHN nc 
Casino_and_Hotel: N comHN nc 
Casino_and_Spa: N comHN nc 
Chinese_food: N food nc 
Chlamydia_psittaci: N nc nt 
Chlamydia_trachomatis: N nc nt 
Class_A: A ac good intensifier 
Cust_Disconnected: A ac nt 
DA_FUCK: A ac curse 
Democratic_Party: NNP orgHN 
Design_School: N nc prod0 
Dig_In: N nc prod0 
Don't_Sweat_It: N nc prod0 
Dope_shit: N emph good nc oral passion 
Durable_optical_ceramics: N nc prod 
E_wave: N abstract nc 
Everything_bagel: prodNE 
Ewing's_sarcoma_cellular_diagnosis: N nc treatment 
Extraordinary_issue: N nc prod 
FALSE_FLAG_ALERT: N nc troubleW 
Fake_Eyelash: N nc prod 
False_Eyelash: N nc prod 
Fix_it_Up: N nc prod0 
For_Rent: N nc prod0 
Fumonisin_B1: N nc nt 
Fumonisin_B2: N nc nt 
Fumonisine_B1: N nc nt 
Fun_Fact: N nc 
GM_labelling: N nc solution 
GTT_cellular_diagnosis: N nc treatment 
Gaming_&_Entertainment: N comHN nc 
Gaming_and_Entertainment: N comHN nc 
Garbage_Truck: N nc prod 
Get_Color: N nc prod0 
Get_It_Sold: N nc prod0 
Get_It_Together: N nc prod0 
God_awful: A ac annoy 
